date,open,high,low,close
2013-02-15,0.317500,0.319750,0.311250,0.318250
2013-02-19,0.318500,0.318750,0.312000,0.314000
2013-02-20,0.315000,0.320000,0.308500,0.309500
2013-02-21,0.309000,0.312500,0.306500,0.307250
2013-02-22,0.309250,0.313250,0.307500,0.313000
2013-02-25,0.313750,0.316250,0.307000,0.307500
2013-02-26,0.306250,0.311000,0.305250,0.309250
2013-02-27,0.309250,0.317250,0.308500,0.315000
2013-02-28,0.314000,0.321250,0.312750,0.316500
2013-03-01,0.314250,0.318750,0.311500,0.317750
2013-03-04,0.315500,0.319500,0.313000,0.316500
2013-03-05,0.318250,0.320500,0.316750,0.320000
2013-03-06,0.322000,0.325000,0.318250,0.319750
2013-03-07,0.321500,0.324750,0.317250,0.319000
2013-03-08,0.319750,0.322000,0.318250,0.320500
2013-03-11,0.317250,0.318750,0.314750,0.317500
2013-03-12,0.317000,0.319500,0.314000,0.318500
2013-03-13,0.318500,0.324000,0.315500,0.318500
2013-03-14,0.320500,0.321500,0.316750,0.318750
2013-03-15,0.318750,0.318750,0.314750,0.316000
2013-03-18,0.314000,0.316750,0.311500,0.313750
2013-03-19,0.314000,0.315500,0.309500,0.311750
2013-03-20,0.314750,0.316500,0.312000,0.315500
2013-03-21,0.313750,0.314250,0.310000,0.310500
2013-03-22,0.311500,0.313250,0.310250,0.312000
2013-03-25,0.313750,0.314000,0.308000,0.310250
2013-03-26,0.311000,0.312750,0.309750,0.312500
2013-03-27,0.311250,0.318000,0.310500,0.316250
2013-03-28,0.315500,0.321000,0.313250,0.320750
2013-04-01,0.320000,0.320000,0.308000,0.310250
2013-04-02,0.310500,0.311250,0.305000,0.307000
2013-04-03,0.306500,0.308250,0.301000,0.303250
2013-04-04,0.302250,0.307250,0.301250,0.306250
2013-04-05,0.301750,0.311500,0.301000,0.311500
2013-04-08,0.311750,0.311750,0.305000,0.310750
2013-04-09,0.311000,0.318000,0.308750,0.315750
2013-04-10,0.316000,0.321250,0.315250,0.320750
2013-04-11,0.316250,0.321250,0.307500,0.319250
2013-04-12,0.320750,0.330750,0.318000,0.327250
2013-04-15,0.326250,0.327250,0.318500,0.320500
2013-04-16,0.323500,0.326250,0.321750,0.324000
2013-04-17,0.321500,0.324500,0.317750,0.319750
2013-04-18,0.320500,0.322500,0.313500,0.313500
2013-04-19,0.313250,0.315250,0.309250,0.314250
2013-04-22,0.314000,0.317500,0.311500,0.314750
2013-04-23,0.317500,0.326250,0.317000,0.323000
2013-04-24,0.324000,0.336750,0.323750,0.334000
2013-04-25,0.335750,0.337500,0.332750,0.336750
2013-04-26,0.336250,0.336750,0.333500,0.335250
2013-04-29,0.335750,0.340500,0.334250,0.339250
2013-04-30,0.340000,0.344250,0.337750,0.344250
2013-05-01,0.344250,0.346500,0.340000,0.341250
2013-05-02,0.341000,0.346250,0.339000,0.345250
2013-05-03,0.347500,0.349250,0.345500,0.346750
2013-05-06,0.346750,0.348750,0.343750,0.345750
2013-05-07,0.345750,0.346500,0.338000,0.341250
2013-05-08,0.341750,0.349500,0.340500,0.347500
2013-05-09,0.341250,0.349250,0.340750,0.347750
2013-05-10,0.355000,0.365000,0.355000,0.363500
2013-05-13,0.361000,0.362500,0.354500,0.356000
2013-05-14,0.360250,0.364250,0.356750,0.361250
2013-05-15,0.359500,0.368750,0.359500,0.367500
2013-05-16,0.367000,0.370750,0.364500,0.365750
2013-05-17,0.367500,0.374250,0.364750,0.371750
2013-05-20,0.370250,0.372500,0.369000,0.371000
2013-05-21,0.371250,0.374500,0.367000,0.373000
2013-05-22,0.374500,0.374500,0.358500,0.360000
2013-05-23,0.355750,0.367000,0.354750,0.365750
2013-05-24,0.363750,0.366750,0.359500,0.363500
2013-05-28,0.366250,0.367250,0.359750,0.363250
2013-05-29,0.361000,0.363250,0.359500,0.361000
2013-05-30,0.360500,0.369500,0.359500,0.365750
2013-05-31,0.363750,0.369000,0.361750,0.361750
2013-06-03,0.362250,0.365000,0.353750,0.361250
2013-06-04,0.363500,0.370000,0.359500,0.361750
2013-06-05,0.361250,0.364000,0.353000,0.354000
2013-06-06,0.354000,0.359000,0.353750,0.356250
2013-06-07,0.358750,0.363500,0.357250,0.361250
2013-06-10,0.360250,0.363250,0.358250,0.361000
2013-06-11,0.356250,0.361250,0.354250,0.354250
2013-06-12,0.356000,0.359000,0.349250,0.351250
2013-06-13,0.350000,0.361000,0.349750,0.359250
2013-06-14,0.360500,0.361000,0.356250,0.358750
2013-06-17,0.361500,0.365500,0.359500,0.362250
2013-06-18,0.364000,0.368000,0.357000,0.360000
2013-06-19,0.363250,0.387000,0.362000,0.371000
2013-06-20,0.368000,0.368500,0.358500,0.361000
2013-06-21,0.363000,0.364250,0.354500,0.360500
2013-06-24,0.355250,0.359750,0.347750,0.353000
2013-06-25,0.356750,0.357500,0.351750,0.355500
2013-06-26,0.359500,0.360000,0.352000,0.353500
2013-06-27,0.354500,0.355000,0.346500,0.350250
2013-06-28,0.350250,0.354500,0.345750,0.351000
2013-07-01,0.353500,0.354250,0.350250,0.352500
2013-07-02,0.350500,0.357500,0.349000,0.352250
2013-07-03,0.349250,0.357500,0.349250,0.353250
2013-07-05,0.354250,0.356750,0.352000,0.356000
2013-07-08,0.357000,0.358750,0.352250,0.354250
2013-07-09,0.355000,0.358250,0.354000,0.356000
2013-07-10,0.356000,0.361750,0.355000,0.360750
2013-07-11,0.362750,0.366250,0.362000,0.365750
2013-07-12,0.365000,0.369500,0.363750,0.366000
2013-07-15,0.366750,0.366750,0.359500,0.365250
2013-07-16,0.366750,0.369250,0.365000,0.367250
2013-07-17,0.367250,0.368500,0.364250,0.365250
2013-07-18,0.364750,0.366000,0.359000,0.363750
2013-07-19,0.361500,0.363250,0.352250,0.356000
2013-07-22,0.358750,0.362000,0.354250,0.355750
2013-07-23,0.360250,0.360250,0.353500,0.355250
2013-07-24,0.358500,0.359500,0.354750,0.355250
2013-07-25,0.355000,0.361250,0.352500,0.356500
2013-07-26,0.352250,0.357250,0.352250,0.355000
2013-07-29,0.354250,0.358750,0.353250,0.354250
2013-07-30,0.355500,0.365000,0.355250,0.360250
2013-07-31,0.358500,0.364500,0.358250,0.361000
2013-08-01,0.362250,0.366750,0.358000,0.366000
2013-08-02,0.365250,0.369750,0.362750,0.369000
2013-08-05,0.368000,0.372000,0.366000,0.370750
2013-08-06,0.371000,0.371750,0.364500,0.365250
2013-08-07,0.363250,0.368750,0.363000,0.365000
2013-08-08,0.367000,0.369250,0.362750,0.367500
2013-08-09,0.353000,0.367750,0.352750,0.362250
2013-08-12,0.347500,0.364500,0.327750,0.359250
2013-08-13,0.359750,0.362000,0.357500,0.360500
2013-08-14,0.359750,0.378000,0.359500,0.375750
2013-08-15,0.371750,0.381250,0.370250,0.378250
2013-08-16,0.377500,0.385000,0.376750,0.379750
2013-08-19,0.377500,0.378750,0.373500,0.373750
2013-08-20,0.371750,0.376250,0.371250,0.373750
2013-08-21,0.371500,0.376250,0.370500,0.372000
2013-08-22,0.371750,0.377500,0.371750,0.374000
2013-08-23,0.374500,0.377500,0.373250,0.374000
